,이름,평점(별),작성시간,내용
38,이재성,4개,2024년 3월 8일,요즘 트렌드를 잘 알수 있고 놀라운 할인도 있고 구경하는 재미와 구매하는 즐거움이 좋지만 추천이나 제품검색할때 새로고침이 너무 자주뜨거나 버벅이는게 서버가 너무 불안정합니다
39,Psw,4개,2024년 2월 15일,선택장애가 생길만큼 진짜 가성비 좋고 예쁜옷들이 많고 좋지만.. 기모 여부를 구분할 수 있는 기능이 나왔으면 좋겠네요
40,제이제이,1개,2024년 3월 24일,무신사는 업데이트를 거듭할수록 불편해지네요 여태 그런적없었는데 자꾸 로그인이 풀려요 매번 다시 로그인해야하고 이렇게 불편하게 만들면서 업뎃은 무조건해야하고 사용하기 참 불편하네요..
41,김영희,2개,2024년 3월 19일,"실제상품 질감ㆍ색이 사진에 비해 너무 떨어짐, 상품사진 더 확대해 볼수있도록, 질감 알아볼수있게요."
42,김승현,4개,2024년 2월 21일,딴 건 다 좋은데 [적립금 사용]이 얻는 양에 비해 쓰는 양이 너무 적은 것 같습니다 그래서 모으고 싶다는 생각이 안 들고 쓸때는 많이 남은 적립금을 보면 쓰고 싶다는 기분이 안 들어요.. 적립금 사용을 늘려주셨으면 합니다
43,SC Cha,1개,2024년 3월 11일,"양아치인가? 앱알림 수신동의는 동의도 받지않고 지들 멋대로 해놓고 개인정보 수신 수집동의는 꺼놓고, 광고 알람은 계속 오게 해놓음. 이거 개인정보를 지들이 안가져 갔다고 앱으로 광고 계속 알림오게 만듦."
44,thecatlover Jessie,5개,2024년 4월 4일,다양한 제품을 한번에 비교할수 있어요. 다양한 할인 쿠폰도 유용합니다.
45,김씨맨,5개,2024년 4월 3일,편리함과 직관성이 무신사를 말하는 단어이다. 폭 넓은 브랜드를 가지고 있으면서도 카테고리별 분류가 명확해 원하는 옷을 찾는데 어려움을 느낀 적이 없었다.
46,이영빈,1개,2024년 3월 16일,진짜 신발살때마다 열불오름 300사이즈 옵션도 만들라고 제발 290 이상 말고 300이상으로 만들라고 진짜 개 열받네 옵션 하나 추가하는게 데이터베이스 뜯어고칠수준으로 어려운거도 아니면서 에휴
47,황승언,1개,2024년 3월 19일,앱이 가면 갈수록 이상해지냐 예전에는 깔끔하고 좋았는데 쓰지도 않는 메뉴 옵션들이랑 배너 추가한 이후로 정신없고 렉이 너무 많이 걸림
48,래희,5개,2024년 3월 25일,"가방 오프라인으로 사면 가격도 비싸고 다 거기서 거기인데 전품목 한눈에 볼수있고 가성비 및 랭킹도 할인도 할때사면 상당히 저가에 살수도 있더라구요 걍 에라모르겠다 못 정할때는 순위보고 사셔도 거의 후회 없으실거라고 생각해요 그만큼 편리하고 정보성 시인성 또 실용성 룩성도 후기보면 와 이런핏이네 사야겠다 이분 따라사자 싶어좋더라고요, 광고아님 내돈내산 후기임,"
49,지수,5개,2024년 3월 27일,계속해서 더 많은 브랜드들이 입점하고 잇어서 너무 만족중입니다 ㅎㅎ 적립금 혜택도 쏠쏠해서 타 앱에서 구매하는 것보다 훨씬 저렴해요
50,Sewon Lee,5개,2024년 3월 14일,다양하고 관심있는 브랜드 쉽게접근하기 너무좋아요 필요한거 잘구매합니다.
51,예스브랜드,1개,2024년 3월 25일,"자동 로그인 안되는 오류 때문에 진심 미칠거같아요. 첨엔 비번도 틀리다고 나와서 해킹당한 줄ㅋ 어차피 내 적립금도 내 맘대로 못쓰게 제안하는 이상한 쇼핑몰, 더 이상 안쓸듯. 잘가요 무신사."
52,yessu_ _,4개,2024년 3월 24일,오래 쓸 것들 사면 좋을 듯 가격 싸고 품질 적당한 거 고르려고 하면 힘듦 가격도 좀 있고 품질 좋은 걸 고르려고 하면 무신사가 최적인 듯
53,김문심,3개,2024년 3월 27일,업데이트 후 출석체크 안되고 계속 업데이트하라고하네요. 5번이나 제거하고 다시 깔았는데도 그대로네요. 확인요망이요...
54,구은경,3개,2024년 3월 27일,출첵하려고 하면 업데이트 하라고 하고 404떠요 업데이트도 했고 제거후 재설치도 해봤는데 출첵 어떻게 해요 ㅠ
55,강한남자,1개,2024년 3월 22일,자동로그인 풀린다고 문의넣으니까 폰업데이트하라고? 안되면 뭔 영상에 로그에 뭘 보내라고? 사용자가 그런거까지 떠먹여줘야되나.. 매크로 배짱장사는 여전하네
56,짱돌,1개,2024년 3월 21일,며칠전부터 앱 들어갈 때마다 로그인 해야됨. 자동로그인 왜 없어졌나요
57,정해인,5개,2024년 2월 24일,카테고리에서 세부항목 넘어갔을 때 세부항목 이름 옆에 화살표 (ex. 바지>) 없애거나 눌렀을 때 all 버튼 눌렀을 때 보이는 페이지로 넘어가게 해주세요 헷갈려요
