,제목,저자,출간일자,가격,판매지수,링크
143,우리 대화할까요,후션즈 저/박지수 역,2024년 04월,"16,020","판매지수 9,360",https://www.yes24.com/Product/Goods/125708947
144,패터슨,윌리엄 칼로스 윌리엄스 저/황유원 역,2024년 03월,"18,900","판매지수 3,156",https://www.yes24.com/Product/Goods/125075522
145,야옹이 수영 교실,신현경 글/노예지 그림,2023년 07월,"14,220","판매지수 34,878",https://www.yes24.com/Product/Goods/120761391
146,2024 최신판 에듀윌 공기업 국민건강보험공단 NCS+법률 실전모의고사 4+4회&법률 100제,에듀윌 취업연구소 저,2024년 03월,"19,800","판매지수 23,082",https://www.yes24.com/Product/Goods/125447851
147,처음 읽는 그리스 로마 신화 11,최설희 글/한현동 그림/정수영 편,2024년 03월,"12,150","판매지수 62,616",https://www.yes24.com/Product/Goods/125316473
148,꿈과 돈,니시노 아키히로 저/최지현 역,2024년 03월,"16,920","판매지수 57,666",https://www.yes24.com/Product/Goods/125294390
149,키위엔 영어회화 하루 5분의 기적,박강준 저,2022년 12월,"17,550","판매지수 199,455",https://www.yes24.com/Product/Goods/115475489
150,나는 행복한 푸바오 할부지입니다,강철원 글/류정훈 사진,2024년 02월,"16,200","판매지수 107,151",https://www.yes24.com/Product/Goods/125101034
151,내 마음의 위험한 녀석 9,사쿠라이 노리오 글그림/조원로 역,2024년 04월,"5,400","판매지수 9,450",https://www.yes24.com/Product/Goods/125805012
152,모든 것은 기본에서 시작한다,손웅정 저,2021년 10월,"14,400","판매지수 88,665",https://www.yes24.com/Product/Goods/104086365
153,2024 이동기 영어 직전동형 모의고사 Vol.2,(주)이앤미래(이동기) 편저,2024년 04월,"13,500","판매지수 13,329",https://www.yes24.com/Product/Goods/125617439
154,내가 알고 있는 걸 당신도 알게 된다면 (리커버 에디션),칼 필레머 저/박여진 역,2022년 08월,"15,300","판매지수 59,526",https://www.yes24.com/Product/Goods/112198856
155,Veil 1,코테리 글그림/정우주 역,2024년 04월,"11,520","판매지수 9,150",https://www.yes24.com/Product/Goods/125708035
156,AI 2024,김덕진 저,2023년 10월,"19,800","판매지수 140,190",https://www.yes24.com/Product/Goods/122880691
